icao_id,name,latitude,longitude,type
AGGA,Auki Arpt,-8.703,160.682,TAF
AGGC,Choiseul Bay Arpt,-6.712,156.396,METAR|TAF
AGGH,Honiara/Henderson Arpt,-9.43,160.047,METAR|TAF
AGGK,Kirakira Arpt,-10.45,161.898,TAF
AGGL,Santa Cruz,-10.719,165.798,METAR|TAF
AGGM,Munda Arpt,-8.327,157.263,METAR|TAF
AGGN,Nusatupe/Gizo Arpt,-8.098,156.864,TAF
AGGR,Rennell Tingoa Arpt,-11.55,160.063,TAF
ANYN,Nauru Intl,-0.547,166.919,METAR|TAF
AYGN,Alotau/Gurney Arpt,-10.311,150.334,METAR|TAF
AYMD,Madang,-5.22,145.78,METAR|TAF
AYMH,Mt Hagan Arpt,-5.831,144.3,METAR|TAF
AYMO,Manus Isl/Momote Arpt,-2.061,147.425,METAR|TAF
AYNZ,Nadzab Arpt,-6.568,146.727,METAR|TAF
AYPY,Port Moresby Intl,-9.443,147.216,METAR|TAF
AYVN,Vanimo Arpt,-2.687,141.298,METAR|TAF
AYWK,Wewak Arpt,-3.581,143.668,METAR|TAF
AZUH,Nakhchivan Intl,39.191,45.453,METAR
BGAA,Aasiaat Arpt,68.721,-52.784,METAR|TAF
BGAM,Tasiilaq,65.612,-37.618,METAR|TAF
BGAS,Angisoq,59.988,-45.173,METAR
BGAT,Aputiteeq,67.783,-32.285,METAR
BGBW,Narssarssuaq Arpt,61.164,-45.42,METAR|TAF
BGCO,Constable Pynt/Inaat Arpt,70.741,-22.642,METAR|TAF
BGDB,Daneborg,74.299,-20.22,METAR
BGDH,Danmarkshavn,76.767,-18.667,METAR
BGEM,Egedesminde,68.72,-52.794,METAR
BGFH,Frederikshaab,62.013,-49.669,METAR
BGGD,Groennedal,61.222,-48.111,METAR
BGGH,Godthab/Nuuk Arpt,64.191,-51.677,METAR|TAF
BGHB,Holsteinsborg,66.92,-53.67,METAR
BGJH,Julianehaab,60.716,-46.029,METAR
BGJN,Ilulissat Arpt,69.24,-51.064,METAR|TAF
BGKK,Kulusuk Arpt,65.575,-37.133,METAR|TAF
BGKT,Uunarted,70.42,-21.97,METAR
BGMQ,Maniitsoq Arpt,65.412,-52.934,METAR|TAF
BGPC,Prins Christian,60.055,-43.165,METAR
BGPT,Paamiut Arpt,62.013,-49.669,METAR|TAF
BGQQ,Qaanaaq Arpt,77.486,-69.375,METAR|TAF
BGSC,Scoresbysund,70.488,-21.972,METAR
BGSF,Stroemfjord Arpt,67.013,-50.718,METAR|TAF
BGSS,Sisimiut Arpt,66.951,-53.723,METAR|TAF
BGTL,Thule,76.527,-68.758,METAR|TAF
BGUK,Upernavik Arpt,72.798,-56.129,METAR|TAF
BGUQ,Uummanaq Arpt,70.733,-52.695,METAR|TAF
BIAR,Akureyri Arpt,65.655,-18.069,METAR|TAF
BIBD,Bildudalur Arpt,65.645,-23.543,METAR|TAF
BIEG,Egilsstaðir Arpt,65.275,-14.409,METAR|TAF
BIGJ,Gjögur Arpt,65.994,-21.329,METAR|TAF
BIGR,Grímsey Arpt,66.548,-18.02,METAR|TAF
BIHN,Höfn/Hornafjörður Arpt,64.301,-15.227,METAR|TAF
BIHU,Huasij Arpt,65.952,-17.426,METAR|TAF
BIIS,Ísafjörður Arpt,66.056,-23.143,METAR|TAF
BIKF,Keflavik Intl,63.987,-22.614,METAR|TAF
BIRG,Raufarhofn,66.45,-15.95,METAR
BIRK,Reykjavik Arpt,64.129,-21.941,METAR|TAF
BIST,Stykkisholmur,65.074,-22.734,METAR
BITN,Þórshöfn Arpt,66.218,-15.336,METAR|TAF
BIVM,Vestmannaeyjar Arpt,63.424,-20.278,METAR|TAF
BIVO,Vopnafjörður Arpt,65.72,-14.85,METAR|TAF
BKPR,Pristina Intl,42.576,21.03,METAR|TAF
CAHR,Harrington,46.344,-63.17,METAR
CBBC,Bella Bella Arpt,52.181,-128.154,METAR|TAF
CERM,Edmundston,47.417,-68.325,METAR
CMFM,Fort Montmorency,47.323,-71.148,METAR
CMGB,Granby,45.373,-72.774,METAR
CPBT,Blood Tribe AG,49.543,-113.049,METAR
CPEH,Enchant,50.172,-112.438,METAR
CPFI,Fincastle,49.805,-112.037,METAR
CPIN,Bernard Harbour,68.755,-114.94,METAR
CPIR,Iron Springs,49.901,-112.745,METAR
CPRO,Rosemary,50.826,-112.06,METAR
CPRY,Raymond,49.488,-112.674,METAR
CPST,Strathmore,51.02,-113.27,METAR
CPSV,Seven Persons,49.92,-110.915,METAR
CPXL,Bow Island North,49.866,-111.386,METAR
CTCK,Moose Creek,45.251,-74.963,METAR
CTNK,Algonquin Park/East,45.533,-78.266,METAR
CTPP,Camp Canargus,18.57,-72.31,METAR
CTRA,Rawson Lake,49.664,-93.733,METAR
CWAB,Trowbridge,48.3,-88.87,METAR
CWAC,Nitinat Lake,48.67,-124.83,METAR
CWAD,Cape Mudge Light,49.999,-125.196,METAR
CWAE,Whistler,50.129,-122.955,METAR
CWAF,Ile Rouge,48.069,-69.556,METAR
CWAG,La Scie,49.917,-55.667,METAR
CWAH,Amherst,45.85,-64.27,METAR
CWAJ,Erieau,42.256,-81.909,METAR
CWAN,Amphitrite Poin,48.922,-125.541,METAR
CWAQ,Coronach,49.05,-105.483,METAR
CWAR,Argentia/Bristol Fld,47.294,-53.993,METAR
CWAU,Dryad Point Light,52.18,-128.12,METAR
CWAV,Sundre Arpt,51.777,-114.681,METAR
CWAX,Saint Anthony,51.39,-56.081,METAR
CWBA,Barrage Temiscaming,46.71,-79.101,METAR
CWBD,Indian Head,50.557,-103.652,METAR
CWBE,Killarney Arpt,45.978,-81.493,METAR
CWBF,Burgeo,47.62,-57.63,METAR
CWBG,Big Creek,51.26,-123.092,METAR
CWBI,Britt,45.8,-80.53,METAR
CWBK,Caribou Pt,45.764,-62.681,METAR
CWBM,Beaverlodge,55.197,-119.397,METAR
CWBO,Brooks,50.55,-111.849,METAR
CWBR,Brown Lake,66.03,-91.83,METAR
CWBS,Lac St Pierre?,46.189,-72.916,METAR
CWBT,Longue Pt de Mingan,50.271,-64.226,METAR
CWBU,Nipawin Arpt,53.333,-104.005,METAR
CWBV,Beaver Island,44.825,-62.338,METAR
CWBY,Port Menier Arpt,49.839,-64.293,METAR
CWBZ,St Anicet,45.121,-74.289,METAR
CWCF,Berens River Arpt,52.36,-97.022,METAR
CWCH,Atikokan,48.761,-91.628,METAR
CWCI,Caribou Isl,47.341,-85.807,METAR
CWCJ,Pukaskwa Park,48.588,-86.295,METAR
CWCL,Clinton,51.145,-121.505,METAR
CWCO,Collingwood Arpt,44.5,-80.217,METAR
